timestamp_utc,unix_time,slug,seconds_left,up_bid,up_ask,up_mid,down_bid,down_ask,down_mid,up_bid_depth,up_ask_depth,down_bid_depth,down_ask_depth,up_imbalance,down_imbalance,up_change_5s,up_change_15s,up_change_30s,pair_ask_cost,signal,score,reasons
2026-09-21 11:31:31,1789990290,btc-updown-5m-1789990200,210,0.75,0.76,0.755,0.24,0.25,0.245,1704.46,2696.89,2644.4700000000003,1738.1499999999999,-0.22548309041544065,0.206798672939931,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,1.01,DOWN WATCH,-6,"UP5-,UP15-,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:32,1789990292,btc-updown-5m-1789990200,208,0.73,0.74,0.735,0.26,0.27,0.265,2096.95,1050.38,1020.38,2127.63,0.33252630007021816,-0.35173014062852404,-0.06000000000000005,-0.09999999999999998,-0.09999999999999998,1.01,WAIT,-3,"UP5-,UP15-,UP30-,UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:31:34,1789990293,btc-updown-5m-1789990200,207,0.69,0.7,0.695,0.3,0.31,0.305,2486.63,1330.53,472.0,2210.33,0.302869148791248,-0.6480671654867224,-0.08000000000000007,-0.14,-0.14,1.01,WAIT,-3,"UP5-,UP15-,UP30-,UP_BOOK,DOWN_BOOK_WEAK"
2026-09-21 11:31:36,1789990295,btc-updown-5m-1789990200,205,0.73,0.74,0.735,0.26,0.27,0.265,1943.6100000000001,2884.0699999999997,3045.0699999999997,1903.49,-0.19480578663043108,0.23068933184603194,-0.020000000000000018,-0.10999999999999999,-0.07999999999999996,1.01,DOWN WATCH,-4,"UP15-,UP30-,DOWN_BOOK"
2026-09-21 11:31:37,1789990297,btc-updown-5m-1789990200,203,0.74,0.75,0.745,0.25,0.26,0.255,2709.4,3304.9999999999995,4182.5199999999995,1238.6100000000001,-0.09902899707368973,0.5430436089892697,0.010000000000000009,-0.020000000000000018,-0.07999999999999996,1.01,WAIT,-2,"UP30-,DOWN_BOOK"
2026-09-21 11:31:39,1789990298,btc-updown-5m-1789990200,202,0.74,0.75,0.745,0.25,0.26,0.255,2607.0499999999997,2737.3999999999996,3152.3999999999996,2635.5099999999998,-0.02438978753660338,0.08930512050118261,0.050000000000000044,-0.020000000000000018,-0.07999999999999996,1.01,WAIT,1,"UP5+,UP30-"
2026-09-21 11:31:41,1789990300,btc-updown-5m-1789990200,200,0.78,0.79,0.785,0.22,0.23,0.225,935.31,4322.6900000000005,4289.0,1532.8899999999999,-0.6442335488779004,0.4734046847329648,0.050000000000000044,-0.020000000000000018,-0.039999999999999925,1.02,WAIT,0,"UP5+,UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:43,1789990302,btc-updown-5m-1789990200,198,0.76,0.77,0.765,0.24,0.25,0.245,1026.68,2231.28,2408.3199999999997,1026.68,-0.36974057385603265,0.4022241630276564,0.020000000000000018,-0.030000000000000027,-0.04999999999999993,1.02,WAIT,-2,"UP_BOOK_WEAK,DOWN_BOOK"
2026-09-21 11:31:44,1789990304,btc-updown-5m-1789990200,196,0.7,0.71,0.705,0.29,0.3,0.295,1700.8899999999999,1060.0,1060.0,1136.6399999999999,0.23213166768686905,-0.034889649646733134,-0.040000000000000036,-0.07000000000000006,-0.10000000000000009,1.01,DOWN WATCH,-4,"UP5-,UP15-,UP30-,UP_BOOK"
2026-09-21 11:31:46,1789990305,btc-updown-5m-1789990200,195,0.72,0.73,0.725,0.27,0.28,0.275,1837.6799999999998,1792.79,1628.79,1861.44,0.01236479023377135,-0.06665749821644995,-0.06000000000000005,-0.030000000000000027,-0.08000000000000007,1.01,WAIT,-3,"UP5-,UP30-"
